,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
15,Satkhira,BD,93.2,light rain,22.7167,89.1,kaligonj Mass
38,Xinzhi,CN,93.04,few clouds,36.4989,111.7047,Mingyue Hotel
76,Komsomolskiy,UZ,90.82,broken clouds,40.4272,71.7189,Ikathouse
114,Georgetown,MY,91.35,few clouds,5.4112,100.3354,Cititel Penang
162,Kalmunai,LK,92.08,overcast clouds,7.4167,81.8167,VS Villa
166,Pratapgarh,IN,100.89,few clouds,24.0333,74.7833,Ratna Hotel
180,Mecca,SA,112.64,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
185,Sardarpur,IN,99.5,scattered clouds,22.678,74.9484,Shri Maya Lodge
188,Chamba,IN,90.99,scattered clouds,32.5667,76.1333,NotOnMap - Rafi's House
191,Yazman,PK,108.54,clear sky,29.1212,71.7446,Jamal sons showroom
201,Gerash,IR,107.74,clear sky,27.6652,54.1371,Sa'adat House
218,Kazerun,IR,106.5,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
239,Gazojak,TM,98.87,clear sky,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
249,Sitarganj,IN,94.32,few clouds,28.9333,79.7,OYO 37021 Hotel Sitar International
265,Kassala,SD,102.6,overcast clouds,15.451,36.4,Amassi Hotel Gash
267,Shache,CN,90.82,clear sky,38.4167,77.2406,Delong Hotel
270,Riyadh,SA,100.54,dust,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
323,Gat,IL,91.78,clear sky,31.61,34.7642,OlusHome
329,Qianan,CN,92.55,overcast clouds,44.9932,124.0581,Qian'an Hotel
333,Kutum,SD,97.41,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
368,Hambantota,LK,93.54,scattered clouds,6.1241,81.1185,Bungalow 63
372,Najran,SA,95.65,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
391,Guilin,CN,91.51,broken clouds,25.2819,110.2864,Grand 0773 Hotel
419,Khipro,PK,105.51,clear sky,25.8285,69.3772,Mukesh Bhojraj Khatri Graphix Khipro
452,Ojinaga,MX,90.55,clear sky,29.5667,-104.4167,Suites Las Palmas
481,Islamnagar,IN,107.98,few clouds,28.3333,78.7167,AFGAN MASJID
483,Biltine,TD,101.66,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
541,Sur,OM,94.24,few clouds,22.5667,59.5289,Sur Plaza Hotel
544,Arlit,NE,105.78,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
585,Hit,IQ,93.69,clear sky,33.6416,42.8251,صالون زيرو
591,San,ML,90.27,broken clouds,13.3034,-4.8956,Hôtel Teriya
611,Tezu,IN,91.99,broken clouds,27.9167,96.1667,Circuit House
634,Jalali,IN,110.34,few clouds,27.8667,78.2667,नगला खुमी
645,Zhuzhou,CN,95.13,overcast clouds,27.8333,113.15,Feifan Chengpin Hotel Shanmutang
646,Eyl,SO,92.44,broken clouds,7.9803,49.8164,Amiin Hotel
