,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Lahat,ID,-3.8,103.5333,75.79,89,100,2.82,overcast clouds
1,Leningradskiy,RU,69.3833,178.4167,24.89,87,99,18.88,overcast clouds
2,Te Anau,NZ,-45.4167,167.7167,36.95,95,83,0.98,broken clouds
3,Goderich,CA,43.7501,-81.7165,50.92,87,56,5.75,broken clouds
4,Kodiak,US,57.79,-152.4072,44.33,71,2,2.57,clear sky
5,Vaini,TO,-21.2,-175.2,69.96,94,75,4.61,broken clouds
6,Kalmunai,LK,7.4167,81.8167,84.15,74,61,12.44,broken clouds
7,San Policarpo,PH,12.1791,125.5072,82.0,76,100,2.01,overcast clouds
8,Solnechnyy,RU,50.7214,136.6319,46.42,56,19,8.68,few clouds
9,Mairi,BR,-11.7114,-40.1489,74.93,54,10,5.75,clear sky
10,Pringsewu,ID,-5.3582,104.9744,76.12,88,91,6.13,overcast clouds
11,Saint George,US,37.1041,-113.5841,70.54,75,1,4.61,clear sky
12,Port Blair,IN,11.6667,92.75,83.17,75,98,8.63,overcast clouds
13,Muros,ES,42.7762,-9.0603,73.99,74,16,8.21,few clouds
14,Saint-Philippe,RE,-21.3585,55.7679,76.55,65,100,13.27,overcast clouds
15,Mataura,NZ,-46.1927,168.8643,45.48,99,94,2.44,overcast clouds
16,Busselton,AU,-33.65,115.3333,55.09,74,44,13.13,scattered clouds
17,Abu Zabad,SD,12.35,29.25,86.22,51,96,2.98,overcast clouds
18,Hobart,AU,-42.8794,147.3294,48.06,62,20,3.0,few clouds
19,Punta Arenas,CL,-53.15,-70.9167,33.91,86,0,10.36,clear sky
20,Tuktoyaktuk,CA,69.4541,-133.0374,38.5,95,100,12.97,overcast clouds
21,Filingue,NE,14.3521,3.3168,95.14,40,38,10.45,scattered clouds
22,New Norfolk,AU,-42.7826,147.0587,47.71,68,51,1.01,broken clouds
23,Atuona,PF,-9.8,-139.0333,76.86,80,22,17.74,few clouds
24,Rikitea,PF,-23.1203,-134.9692,72.64,77,3,9.08,clear sky
25,Grand Gaube,MU,-20.0064,57.6608,77.38,51,98,5.99,overcast clouds
26,Castro,BR,-24.7911,-50.0119,73.08,69,12,3.6,few clouds
27,Bambous Virieux,MU,-20.3428,57.7575,77.22,43,40,14.97,scattered clouds
28,Port Lincoln,AU,-34.7333,135.8667,56.19,87,92,17.05,overcast clouds
29,Juba,SS,4.8517,31.5825,93.4,39,20,1.36,few clouds
30,Viedma,AR,-40.8135,-62.9967,51.53,90,100,5.32,overcast clouds
31,Dzilam Gonzalez,MX,21.2833,-88.9333,73.11,97,56,3.62,broken clouds
32,Bluff,NZ,-46.6,168.3333,45.81,84,75,11.68,broken clouds
33,Avanigadda,IN,16.0215,80.9181,86.14,62,100,3.4,overcast clouds
34,Ushuaia,AR,-54.8,-68.3,44.26,57,20,18.41,few clouds
35,Cape Town,ZA,-33.9258,18.4232,64.89,74,75,4.0,light intensity drizzle rain
36,Albany,US,42.6001,-73.9662,55.74,90,55,4.38,broken clouds
37,Constitucion,CL,-35.3333,-72.4167,48.7,71,6,6.33,clear sky
38,Geraldton,AU,-28.7667,114.6,63.01,82,1,12.66,clear sky
39,Lebu,CL,-37.6167,-73.65,45.1,84,3,10.67,clear sky
40,Nanortalik,GL,60.1432,-45.2371,37.99,98,100,11.48,moderate rain
41,Mar Del Plata,AR,-38.0023,-57.5575,53.62,100,90,8.05,mist
42,Tilichiki,RU,60.4667,166.1,44.17,77,88,2.1,overcast clouds
43,Cherskiy,RU,68.75,161.3,26.15,74,5,7.43,clear sky
44,Santa Maria,BR,-29.6842,-53.8069,63.7,100,90,9.22,overcast clouds
45,Mokhsogollokh,RU,61.4681,128.9203,35.11,76,48,11.16,scattered clouds
46,Pouembout,NC,-21.1333,164.9,65.35,78,35,5.3,scattered clouds
47,Port Alfred,ZA,-33.5906,26.891,70.32,51,14,15.5,few clouds
48,Yellowknife,CA,62.456,-114.3525,41.52,100,90,10.36,overcast clouds
49,Faya,SA,18.3851,42.4509,86.11,18,50,3.96,scattered clouds
50,Hermanus,ZA,-34.4187,19.2345,70.81,60,4,21.05,clear sky
51,Khatanga,RU,71.9667,102.5,33.03,84,98,10.47,light snow
52,Moose Factory,CA,51.2585,-80.6094,50.0,81,90,8.05,overcast clouds
53,Cabedelo,BR,-6.9811,-34.8339,79.47,70,83,12.55,broken clouds
54,Upernavik,GL,72.7868,-56.1549,22.15,57,13,5.91,few clouds
55,Kenai,US,60.5544,-151.2583,30.29,100,1,0.0,clear sky
56,Jamestown,US,42.097,-79.2353,56.52,96,1,3.44,clear sky
57,Ust-Ishim,RU,57.6935,71.1665,35.49,97,100,9.98,light rain
58,Port Elizabeth,ZA,-33.918,25.5701,73.09,68,0,24.16,clear sky
59,Provideniya,RU,64.3833,-173.3,37.24,96,97,8.28,light rain
60,Cidreira,BR,-30.1811,-50.2056,67.14,90,15,8.39,few clouds
61,Victoria,HK,22.2855,114.1577,87.33,81,27,11.86,scattered clouds
62,Pisco,PE,-13.7,-76.2167,60.85,82,90,2.3,overcast clouds
63,Bredasdorp,ZA,-34.5322,20.0403,70.92,43,1,5.75,clear sky
64,Ardabil,IR,38.2498,48.2933,69.35,64,20,19.57,few clouds
65,Pangnirtung,CA,66.1451,-65.7125,31.95,74,71,6.08,broken clouds
66,Mahebourg,MU,-20.4081,57.7,77.25,43,40,14.97,scattered clouds
67,Birao,CF,10.2849,22.7882,87.6,56,28,3.24,scattered clouds
68,Kahului,US,20.8947,-156.47,74.46,82,1,4.61,light rain
69,Yerofey Pavlovich,RU,53.9667,121.9667,41.49,83,7,2.8,clear sky
70,Tasiilaq,GL,65.6145,-37.6368,37.56,58,99,3.94,overcast clouds
71,Thompson,CA,55.7435,-97.8558,51.96,93,75,3.44,broken clouds
72,Lompoc,US,34.6391,-120.4579,57.92,85,90,0.0,overcast clouds
73,Alofi,NU,-19.0595,-169.9187,75.09,94,16,3.44,light rain
74,Chuy,UY,-33.6971,-53.4616,62.02,92,28,11.34,scattered clouds
75,Pingzhuang,CN,42.0372,119.2889,62.35,60,100,3.04,light rain
76,Yulara,AU,-25.2406,130.9889,78.64,34,18,8.05,few clouds
77,Saskylakh,RU,71.9167,114.0833,31.23,77,98,4.97,overcast clouds
78,Kadyy,RU,57.787,43.1903,49.03,48,99,6.4,overcast clouds
79,Beringovskiy,RU,63.05,179.3167,44.35,86,94,12.26,overcast clouds
80,Jumla,NP,29.2747,82.1838,68.0,81,70,4.16,broken clouds
81,Bengkulu,ID,-3.8004,102.2655,76.91,89,86,8.57,overcast clouds
82,Lasa,IT,46.6166,10.7002,59.74,88,93,6.53,overcast clouds
83,Mazyr,BY,52.0495,29.2456,52.14,80,100,5.26,overcast clouds
84,Kavieng,PG,-2.5744,150.7967,82.13,79,69,11.95,light rain
85,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,80,6,10.94,clear sky
86,Sao Felix Do Xingu,BR,-6.6447,-51.995,87.28,45,13,3.38,few clouds
87,Asau,RO,46.4333,26.4,67.12,53,61,16.64,broken clouds
88,Clyde River,CA,70.4692,-68.5914,28.81,74,82,4.45,broken clouds
89,Poum,NC,-20.2333,164.0167,72.93,63,78,12.64,broken clouds
90,Plerin,FR,48.5425,-2.7798,66.74,78,90,1.99,overcast clouds
91,Kasempa,ZM,-13.4584,25.8338,93.7,15,4,7.65,clear sky
